"Source:","/Users/jackwoods/Documents/Balloon Tracker/Balloon Tracker PCB/DoBo/DoBoR2/DoBoR2.kicad_sch"
"Date:","2023 August 13, Sunday 18:19:40"
"Tool:","Eeschema 7.0.2-0"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock"
"1","1","C1","Capacitor","Trackuino:Capacitor","Capacitor_SMD:C_1206_3216Metric","~","","","","","",""
"2","2","C2, C5","20 pF",":Capacitor_1","Capacitor_SMD:C_1206_3216Metric","~","","","","","",""
"3","2","C3, C4","36 pF",":Capacitor_1","Capacitor_SMD:C_1206_3216Metric","~","","","","","",""
"4","1","D1","3.3V LDO","Trackuino:LED","LED_SMD:LED_1206_3216Metric","~","","","","","",""
"5","1","D2","SQUELCH","Trackuino:LED","LED_SMD:LED_1206_3216Metric","~","","","","","",""
"6","1","D3","AF_OUT","Trackuino:LED","LED_SMD:LED_1206_3216Metric","~","","","","","",""
"7","1","D4","~","Trackuino:DRA818V","Tracker Custom Library:DORJI_DRA818V","","","","","","",""
"8","1","J1","10 Pin PicoBlade MOLEX","53048-1010:53048-1010","Connector_Molex:Molex_PicoBlade_53048-1010_1x10_P1.25mm_Horizontal","https://componentsearchengine.com/Datasheets/2/53048-1010.pdf","","3.7","Molex","53048-1010","538-53048-1010","https://www.mouser.co.uk/ProductDetail/Molex/53048-1010?qs=th8CuLdcYnkN%252Bd6WV%252BYS%2FA%3D%3D"
"9","1","J2","Conn_Coaxial","Connector:Conn_Coaxial","Tracker Custom Library:Molex SMA Edge Mount"," ~","","","","","",""
"10","2","L1, L3","56 nH","Device:L","Inductor_SMD:L_1206_3216Metric","~","","","","","",""
"11","1","L2","68 nH","Device:L","Inductor_SMD:L_1210_3225Metric","~","","","","","",""
"12","1","LVL1","TXU0104BQAR","Trackuino2:TXU0104BQAR","Package_SO:TSSOP-14_4.4x5mm_P0.65mm","TXU0104BQAR","","","","","",""
"13","3","R1, R2, R3","Resistor","Trackuino:Resistor","Resistor_SMD:R_1206_3216Metric","~","","","","","",""
"14","1","R4","50 ohm","Trackuino:Resistor","Resistor_SMD:R_1206_3216Metric","~","","","","","",""
"15","1","SW1","SW_DIP_x01","Switch:SW_DIP_x01","Button_Switch_THT:SW_DIP_SPSTx01_Piano_10.8x4.1mm_W7.62mm_P2.54mm","~","","","","","",""
"16","1","U1","LD1117S33TR_SOT223","Regulator_Linear:LD1117S33TR_SOT223","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000544.pdf","","","","","",""
